,Flare_Number,Flare_ID,Trigger_Time,Cancelled?,Max_FOXSI,Mean_FOXSI,Max_HiC,Mean_HiC,Max_FOXSI_and_HiC_C5,Max_FOXSI_C5,Mean_FOXSI_C5,Max_HiC_C5,Mean_HiC_C5,Flare_C5,Flare_C5_10min,Flare_Class,Flare_Max_Flux,Peak_Time,Start_to_Peak,Background_Flux
0,251,201704012131,544354980.0,False,6.0873069742228836e-05,5.964616502751596e-05,6.0873069742228836e-05,5.9250352933304384e-05,True,True,True,True,True,True,True,M6.8,6.87118e-05,2017-04-01T21:48:00.000,17.0,9.480689868723857e-07
1,257,201704020233,544373160.0,True,2.5123940758930985e-06,2.4248538466054015e-06,2.5123940758930985e-06,2.4809990009089233e-06,False,False,False,False,False,True,False,M1.2,1.2240209e-05,2017-04-02T02:46:00.000,13.0,6.917163091202383e-07
2,258,201704020251,544373160.0,True,2.5123940758930985e-06,2.4248538466054015e-06,2.5123940758930985e-06,2.4809990009089233e-06,False,False,False,False,False,False,False,C2.4,2.4316198e-06,2017-04-02T02:58:00.000,7.0,1.790348164831812e-06
3,261,201704020742,544391760.0,False,8.053233614191413e-05,6.925860361661762e-05,7.173800258897245e-05,6.025889524607919e-05,True,True,True,True,True,True,True,M8.3,8.383287e-05,2017-04-02T08:02:00.000,20.0,1.4673271380161168e-06
4,264,201704021250,544410780.0,True,1.1585086213017348e-05,1.1082724086008966e-05,1.1585086213017348e-05,1.12331499622087e-05,True,True,True,True,True,True,True,M3.6,3.6941372e-05,2017-04-02T13:00:00.000,10.0,9.497819064563373e-07
5,267,201704021814,544430460.0,True,3.250217923778109e-05,3.181750071235001e-05,3.250217923778109e-05,3.229444337193854e-05,True,True,True,True,True,True,True,M3.3,3.3523487e-05,2017-04-02T18:38:00.000,24.0,1.9914496078854427e-06
6,268,201704021845,544430460.0,True,3.250217923778109e-05,3.193135853507556e-05,3.250217923778109e-05,3.190758798155002e-05,True,True,True,True,True,True,True,M3.2,3.239735e-05,2017-04-02T18:52:00.000,7.0,2.7225098165217787e-05
7,269,201704022026,544437000.0,False,4.330917363404296e-05,2.5763583835214376e-05,2.6342375349486247e-05,1.6465693988720886e-05,True,True,True,True,True,True,True,M8.8,8.884683e-05,2017-04-02T20:33:00.000,7.0,5.601001703325892e-06
8,271,201704030050,544453260.0,False,1.4731290320924018e-05,1.2068642718077172e-05,1.22820101751131e-05,1.036484263750026e-05,True,True,True,True,True,True,True,,1.9677913e-05,2017-04-03T01:05:00.000,15.0,2.783206355161383e-06
9,287,201704031417,544501380.0,False,7.655753142898902e-05,5.336824688129127e-05,5.615554618998431e-05,3.82042744604405e-05,True,True,True,True,True,True,True,,9.061434e-05,2017-04-03T14:28:00.000,11.0,5.51786024516332e-06
10,567,201706021751,549698220.0,True,4.416915544425137e-06,3.3419094052078435e-06,3.4624076761247125e-06,2.625745764817111e-06,False,False,False,False,False,True,False,,1.24234975e-05,2017-06-02T17:57:00.000,6.0,1.9842894971588976e-07
11,848,201707140105,553267980.0,False,2.890549149014987e-05,2.7262221919954754e-05,3.039772309421096e-05,2.8563483283505775e-05,True,True,True,True,True,True,True,M3.7,3.765344e-05,2017-07-14T02:09:00.000,64.0,2.1537948668992613e-06
12,1060,201708192124,556451460.0,False,9.37861386773875e-06,7.695784915995318e-06,7.977470886544324e-06,6.486772690550424e-06,True,True,True,True,True,True,True,M1.1,1.1198944e-05,2017-08-19T21:55:00.000,31.0,6.571296466972854e-07
13,1062,201708200134,556465620.0,False,1.715083089948166e-05,1.4525241567753255e-05,1.4922082300472539e-05,1.2565135875775013e-05,True,True,True,True,True,True,True,M1.8,1.8591947e-05,2017-08-20T01:52:00.000,18.0,8.63975401443895e-07
14,1073,201708201914,556529400.0,True,1.5205564523057546e-05,1.4018575711816084e-05,1.4826016013103072e-05,1.2489027540141251e-05,True,True,True,True,True,True,True,M1.5,1.50812675e-05,2017-08-20T19:39:00.000,25.0,9.522846653453598e-07
15,1228,201709021520,557638980.0,True,7.872737114666961e-06,6.943730568309547e-06,7.077733698679367e-06,6.306271188805113e-06,True,True,True,True,True,True,True,M1.1,1.1840938e-05,2017-09-02T15:41:00.000,21.0,4.974916691935505e-07
17,1249,201709041212,557799300.0,True,1.2956003047293052e-05,1.2615107152669225e-05,1.2956003047293052e-05,1.2126866749895271e-05,True,True,True,True,True,True,True,M1.2,1.2260593e-05,2017-09-04T12:16:00.000,4.0,8.19435535959201e-06
18,1250,201709041220,557799300.0,True,1.2956003047293052e-05,1.2615107152669225e-05,1.2956003047293052e-05,1.2126866749895271e-05,True,True,True,True,True,True,True,M1.2,1.2889551e-05,2017-09-04T12:25:00.000,5.0,1.1185922630829737e-05
20,1257,201709041812,557821080.0,False,1.3134905202605296e-05,1.1841471859952435e-05,1.1990148777840659e-05,1.1125132004963234e-05,True,True,True,True,True,True,True,M1.5,1.5713755e-05,2017-09-04T18:22:00.000,10.0,8.038347914407495e-06
21,1258,201709041925,557824200.0,False,1.722910747048445e-05,1.6191634131246246e-05,1.827533014875371e-05,1.7064967323676683e-05,True,True,True,True,True,True,True,M2.6,2.681511e-05,2017-09-04T19:37:00.000,12.0,1.8677559637580998e-05
22,1259,201709041958,557826360.0,True,1.7445054254494607e-05,1.6770225556683727e-05,2.0964782379451208e-05,1.749299372022506e-05,True,True,True,True,True,True,True,M2.3,2.38496e-05,2017-09-04T20:02:00.000,4.0,1.6233463611570187e-05
23,1260,201709042022,557828640.0,False,8.49221323733218e-05,6.753457273589447e-05,7.107726560207084e-05,5.793675882159732e-05,True,True,True,True,True,True,True,M8.4,8.48785e-05,2017-09-04T20:33:00.000,11.0,2.0442350432858802e-05
24,1261,201709042209,557834040.0,True,2.3109911126084626e-05,2.2522735889651813e-05,2.2657299268757924e-05,2.2075686501921155e-05,True,True,True,True,True,True,True,M3.3,3.3068853e-05,2017-09-04T22:14:00.000,5.0,2.132465670001693e-05
25,1262,201709050030,557842500.0,False,9.434112143935636e-06,9.233095624949783e-06,9.28728604776552e-06,9.030208275362384e-06,True,True,True,True,True,True,True,M1.5,1.5131646e-05,2017-09-05T00:35:00.000,5.0,8.573921149945818e-06
26,1263,201709050102,557844420.0,True,7.5610018939187285e-06,7.061184533085907e-06,7.188177278294461e-06,6.716034022247186e-06,True,True,True,True,True,True,True,M6.4,6.4639e-05,2017-09-05T01:08:00.000,6.0,6.535465217893943e-06
28,1265,201709050307,557853480.0,True,6.791746727685677e-06,6.709288300044136e-06,7.093387466738932e-06,6.821979241067311e-06,True,True,True,True,True,True,True,C8.0,8.094756e-06,2017-09-05T03:15:00.000,8.0,7.0981909630063456e-06
29,1266,201709050339,557854740.0,False,1.561922181281261e-05,1.5068932952999603e-05,1.561922181281261e-05,1.525829156889813e-05,True,True,True,True,True,True,True,M1.5,1.5586178e-05,2017-09-05T03:51:00.000,12.0,8.223463737522252e-06
30,1267,201709050427,557856720.0,False,1.1856568562507164e-05,1.1757546417356934e-05,1.2132471056247596e-05,1.186595454782946e-05,True,True,True,True,True,True,True,M5.0,5.033511e-05,2017-09-05T04:53:00.000,26.0,1.2416462595865596e-05
31,1268,201709050633,557865420.0,False,1.9853243429679424e-05,1.5674804672016762e-05,1.5725725461379625e-05,1.3568695976573508e-05,True,True,True,True,True,True,True,M5.8,5.8656748e-05,2017-09-05T06:40:00.000,7.0,5.138183951203246e-06
32,1275,201709051737,557905260.0,False,2.1759124138043262e-05,1.8071224985760637e-05,1.8409155018161982e-05,1.5775740394019522e-05,True,True,True,True,True,True,True,M3.5,3.581448e-05,2017-09-05T17:43:00.000,6.0,2.347313511563698e-06
33,1285,201709060852,557960520.0,False,0.0003223268431611359,0.00026627976330928504,0.0002858340449165553,0.00021609423856716603,True,True,True,True,True,True,True,X3.2,0.00032232684,2017-09-06T09:10:00.000,18.0,4.288362106308341e-06
34,1286,201709061152,557969820.0,False,9.501836757408455e-06,8.799493116384838e-06,8.938774044509046e-06,8.283007446152624e-06,True,True,True,True,True,True,True,X14.6,0.0014662761,2017-09-06T12:02:00.000,10.0,8.1222751759924e-06
35,1287,201709061551,557984160.0,True,2.117463736794889e-05,2.070980735879857e-05,2.079171645164024e-05,2.0339537513791583e-05,True,True,True,True,True,True,True,M4.0,4.027113e-05,2017-09-06T15:56:00.000,5.0,1.900242205010727e-05
36,1288,201709061917,557996520.0,True,8.874659215507563e-06,8.731817615625914e-06,9.00895338418195e-06,8.833912033878732e-06,True,True,True,True,True,True,True,M2.2,2.224219e-05,2017-09-06T19:30:00.000,13.0,9.099079761654139e-06
37,1290,201709062329,558013080.0,True,1.229087411047658e-05,1.0924185517069418e-05,1.1201758752577007e-05,9.784545000002254e-06,True,True,True,True,True,True,True,M1.9,1.9441684e-05,2017-09-06T23:39:00.000,10.0,5.259671979729319e-06
38,1291,201709070459,558032460.0,False,1.6530757420696318e-05,1.276341481570853e-05,1.31743045130861e-05,1.0534746252233163e-05,True,True,True,True,True,True,True,M3.9,3.9022256e-05,2017-09-07T05:02:00.000,3.0,1.607341005183116e-06
39,1297,201709071014,558051300.0,True,7.386038305412512e-06,4.299918600736419e-06,4.108860593987629e-06,3.139834689136478e-06,False,True,False,False,False,True,True,X1.2,0.0001206636,2017-09-07T10:15:00.000,1.0,2.7608152777247597e-06
40,1302,201709071416,558066720.0,False,0.0001597515947651118,0.0001341697497991845,0.00013447915262077004,0.0001224371517309919,True,True,True,True,True,True,True,X2.1,0.00021885491,2017-09-07T14:36:00.000,20.0,1.4748017065358e-06
42,1320,201709080739,558128700.0,False,9.225960093317553e-05,7.480603380827233e-05,7.705457392148674e-05,6.353799835778773e-05,True,True,True,True,True,True,True,X1.2,0.000126714,2017-09-08T07:49:00.000,10.0,1.3854731832907419e-06
43,1326,201709081503,558158520.0,True,1.5461613656952977e-05,1.295811580348527e-05,1.3314239367900882e-05,1.1209438525838777e-05,True,True,True,True,True,True,True,M4.6,4.6527322e-05,2017-09-08T15:47:00.000,44.0,1.5937616808514576e-06
44,1330,201709082330,558186060.0,False,2.8030697649228387e-05,2.378860517637804e-05,2.4414408471784554e-05,2.0580662749125622e-05,True,True,True,True,True,True,True,M3.3,3.346909e-05,2017-09-08T23:45:00.000,15.0,1.6863218661455903e-06
45,1335,201709090413,558203100.0,False,1.575256828800775e-05,1.4417900274565909e-05,1.471545056119794e-05,1.3316886906977743e-05,True,True,True,True,True,True,True,M1.7,1.7329297e-05,2017-09-09T04:28:00.000,15.0,3.815204763668589e-06
46,1339,201709091046,558226680.0,False,5.6140135711757466e-05,5.207342837820761e-05,5.515381053555757e-05,4.672921568271704e-05,True,True,True,True,True,True,True,M5.8,5.8746886e-05,2017-09-09T11:04:00.000,18.0,1.914577069328516e-06
47,1340,201709091119,558227040.0,True,4.132372123422101e-05,3.696675048558973e-05,3.7250334571581334e-05,3.461963206063956e-05,True,True,True,True,True,True,True,M4.6,4.6260717e-05,2017-09-09T11:26:00.000,7.0,3.2813863072078675e-05
48,1347,201709092236,558269820.0,False,1.5930299923638813e-05,1.526558116893284e-05,1.6046822565840557e-05,1.5749845260870643e-05,True,True,True,True,True,True,True,M1.5,1.5941661e-05,2017-09-09T23:17:00.000,41.0,3.9527662920590956e-06
49,1348,201709092337,558271320.0,True,1.4976473721617367e-05,1.456770405638963e-05,1.467975653213216e-05,1.4250119420466945e-05,True,True,True,True,True,True,True,M1.5,1.5079933e-05,2017-09-09T23:41:00.000,4.0,1.3734220374317374e-05
50,1349,201709092343,558271680.0,True,1.5229522432491649e-05,1.4527402527164668e-05,1.5229522432491649e-05,1.4897716937412042e-05,True,True,True,True,True,True,True,M1.8,1.82023e-05,2017-09-09T23:54:00.000,11.0,1.4876961358822882e-05
51,1350,201709100235,558284700.0,False,1.2964555025973823e-05,1.196534594782861e-05,1.2361791959847324e-05,1.1016130883945152e-05,True,True,True,True,True,True,True,M1.4,1.4060234e-05,2017-09-10T03:09:00.000,34.0,1.9495619199005887e-06
